HallwayType,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
mixed,Chil-sung-market,1,7,3,56,1997,5,644,78761
terraced,Myung-duk,5,7,5,1174,2014,9,910,361061
terraced,Banwoldang,0,0,0,203,2014,10,914,379646
mixed,Bangoge,5,5,4,798,2005,7,914,194690
mixed,Chil-sung-market,1,7,3,56,1997,5,644,136283
mixed,Bangoge,5,5,4,798,2005,7,914,178761
mixed,Myung-duk,5,6,5,536,1993,4,644,113274
terraced,Sin-nam,0,3,2,475,2008,8,829,161504
terraced,Banwoldang,0,2,2,524,2007,4,1394,248672
terraced,Myung-duk,2,3,1,181,2006,4,1192,300442
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,255752
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,237168
terraced,Banwoldang,0,4,1,605,2007,5,1334,348672
corridor,Myung-duk,5,7,5,0,1992,3,640,132743
corridor,Sin-nam,1,5,2,18,1986,3,910,156637
terraced,Banwoldang,0,2,2,524,2007,4,1366,221238
terraced,no_subway_nearby,2,2,1,203,2009,5,910,269026
terraced,Banwoldang,0,2,2,524,2007,4,1419,238938
mixed,Bangoge,5,5,4,798,2005,7,914,238938
mixed,Myung-duk,5,6,5,536,1993,4,644,190265
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,174336
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,243362
mixed,Bangoge,5,5,4,798,2005,7,572,80530
terraced,Myung-duk,2,3,1,181,2006,4,903,276991
terraced,Banwoldang,0,2,2,524,2007,4,1366,353982
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,261946
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,192035
terraced,Myung-duk,5,7,5,1174,2014,9,846,331858
mixed,Bangoge,5,5,4,798,2005,7,572,211504
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,495575
terraced,Sin-nam,0,1,2,536,2006,5,1437,258407
terraced,Myung-duk,5,7,5,1174,2014,9,907,317699
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,285398
mixed,Chil-sung-market,1,7,3,56,1997,5,644,82300
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,274336
corridor,no_subway_nearby,1,4,1,218,2014,1,135,57522
corridor,Sin-nam,1,5,2,18,1986,3,451,65929
terraced,Myung-duk,2,3,1,181,2006,4,903,263716
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,382300
terraced,Banwoldang,0,2,2,524,2007,4,1366,247787
terraced,Myung-duk,2,3,1,181,2006,4,857,252212
terraced,Sin-nam,0,3,2,475,2008,8,1167,247787
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,779,168141
terraced,no_subway_nearby,2,2,1,203,2009,5,910,300884
mixed,Myung-duk,1,5,4,79,1992,3,914,231858
terraced,Myung-duk,2,3,1,181,2006,4,903,278761
corridor,Myung-duk,5,7,5,0,1992,3,640,85840
terraced,Sin-nam,0,3,2,475,2008,8,829,190265
mixed,Myung-duk,1,5,4,79,1992,3,914,107522
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,426,107964
terraced,Banwoldang,0,2,2,524,2007,4,914,176991
corridor,Daegu,2,5,0,76,1985,3,587,128318
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,123893
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,284955
mixed,Myung-duk,5,6,5,536,1993,4,644,99557
terraced,Banwoldang,0,2,2,524,2007,4,1366,409734
mixed,Myung-duk,5,6,5,536,1993,4,914,131415
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,255840
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,333628
corridor,Myung-duk,5,7,5,0,1992,3,355,38584
terraced,no_subway_nearby,2,2,1,203,2009,5,910,238938
terraced,Myung-duk,5,7,5,1174,2014,9,843,203539
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,196460
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,322566
mixed,Bangoge,5,5,4,798,2005,7,914,234513
mixed,Myung-duk,5,6,5,536,1993,4,914,226991
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,353982
mixed,Myung-duk,5,6,5,536,1993,4,914,133628
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,273451
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,234513
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,230088
corridor,no_subway_nearby,1,4,1,218,2014,1,156,62831
mixed,Bangoge,5,5,4,798,2005,7,914,166371
terraced,no_subway_nearby,0,1,1,1321,2015,10,1035,484070
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,342477
terraced,Banwoldang,0,4,1,605,2007,5,1273,323008
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,296460
corridor,Myung-duk,5,7,5,0,1992,3,576,58849
mixed,Chil-sung-market,1,7,3,56,1997,5,430,53982
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,779,141592
mixed,Myung-duk,5,6,5,536,1993,4,1761,373451
terraced,Banwoldang,0,2,2,524,2007,4,1103,215929
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,292035
terraced,no_subway_nearby,0,1,1,1321,2015,10,1035,389380
mixed,Chil-sung-market,1,7,3,56,1997,5,914,129203
mixed,Myung-duk,5,6,5,536,1993,4,914,117699
terraced,no_subway_nearby,2,2,1,203,2009,5,910,188938
corridor,Daegu,2,5,0,76,1985,3,587,88495
terraced,Sin-nam,0,1,2,536,2006,5,1743,238938
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,191150
mixed,Myung-duk,5,6,5,536,1993,4,914,124778
terraced,Banwoldang,0,2,2,524,2007,4,1448,323982
mixed,Myung-duk,5,6,5,536,1993,4,644,100000
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,170353
terraced,Sin-nam,0,3,2,475,2008,8,829,211946
terraced,Banwoldang,0,2,2,524,2007,4,1419,264601
terraced,Sin-nam,0,1,2,536,2006,5,818,207079
mixed,Bangoge,5,5,4,798,2005,7,743,153539
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,379646
corridor,Myung-duk,5,7,5,0,1992,3,576,55752
terraced,Sin-nam,0,3,2,475,2008,8,914,259292
mixed,Bangoge,5,5,4,798,2005,7,914,223893
mixed,Myung-duk,5,6,5,536,1993,4,644,123893
terraced,Banwoldang,0,0,0,203,2014,10,914,342477
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,314159
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,336283
mixed,Bangoge,5,5,4,798,2005,7,914,155584
mixed,Bangoge,5,5,4,798,2005,7,743,194690
terraced,Banwoldang,0,4,1,605,2007,5,1629,407079
mixed,Myung-duk,5,6,5,536,1993,4,914,148672
terraced,Sin-nam,0,1,2,536,2006,5,914,216814
terraced,Banwoldang,0,0,0,203,2014,10,914,265486
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,251327
terraced,Sin-nam,0,3,2,475,2008,8,1167,215044
mixed,Bangoge,5,5,4,798,2005,7,914,262831
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,298230
terraced,Myung-duk,2,3,1,181,2006,4,903,155752
corridor,Banwoldang,0,3,2,108,2014,2,288,100000
terraced,no_subway_nearby,2,2,1,203,2009,5,910,194247
terraced,Myung-duk,2,3,1,181,2006,4,857,154690
terraced,Myung-duk,5,7,5,1174,2014,9,907,334513
terraced,Banwoldang,0,4,1,605,2007,5,1690,384955
terraced,Sin-nam,0,3,2,475,2008,8,829,300000
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,367256
corridor,Daegu,2,5,0,76,1985,3,587,59734
mixed,Bangoge,5,5,4,798,2005,7,914,167256
mixed,Myung-duk,5,6,5,536,1993,4,644,84513
mixed,Bangoge,5,5,4,798,2005,7,572,175663
mixed,Bangoge,5,5,4,798,2005,7,572,148230
terraced,no_subway_nearby,2,2,1,203,2009,5,910,153097
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,371681
mixed,Bangoge,5,5,4,798,2005,7,743,207079
terraced,Banwoldang,0,4,1,605,2007,5,1334,368672
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,235398
corridor,Myung-duk,5,7,5,0,1992,3,576,79203
terraced,Daegu,0,3,2,400,2015,7,644,300884
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,223008
mixed,Chil-sung-market,1,7,3,56,1997,5,914,128318
terraced,Myung-duk,5,7,5,1174,2014,9,644,263716
corridor,Myung-duk,5,7,5,0,1992,3,644,140707
mixed,Bangoge,5,5,4,798,2005,7,743,243362
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,223893
terraced,Myung-duk,5,7,5,1174,2014,9,843,331858
terraced,Banwoldang,0,2,2,524,2007,4,1103,223893
mixed,Myung-duk,1,5,4,79,1992,3,644,81858
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,429203
terraced,Banwoldang,0,2,2,524,2007,4,1419,233628
mixed,Myung-duk,5,6,5,536,1993,4,644,175663
terraced,no_subway_nearby,2,2,1,203,2009,5,910,144115
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,219469
terraced,Sin-nam,0,3,2,475,2008,8,829,216814
mixed,Myung-duk,5,6,5,536,1993,4,914,243362
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,151769
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,403336
mixed,Chil-sung-market,1,7,3,56,1997,5,430,55752
terraced,Myung-duk,5,7,5,1174,2014,9,846,329203
terraced,Banwoldang,0,4,1,605,2007,5,1273,377876
terraced,Banwoldang,0,4,1,605,2007,5,1444,318584
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,132743
terraced,no_subway_nearby,2,2,1,203,2009,5,910,197601
terraced,Banwoldang,0,0,0,203,2014,10,914,366371
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,252212
terraced,Banwoldang,0,2,2,524,2007,4,1394,246902
terraced,Banwoldang,0,4,1,605,2007,5,1483,415929
terraced,no_subway_nearby,2,2,1,203,2009,5,910,157522
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,155752
terraced,Sin-nam,0,3,2,475,2008,8,914,291150
terraced,Myung-duk,5,7,5,1174,2014,9,914,340707
terraced,Sin-nam,0,1,2,536,2006,5,1437,293805
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,338938
mixed,Bangoge,5,5,4,798,2005,7,743,170796
terraced,Myung-duk,5,7,5,1174,2014,9,843,321681
mixed,Bangoge,5,5,4,798,2005,7,743,238938
mixed,Myung-duk,1,5,4,79,1992,3,644,103097
corridor,Myung-duk,5,7,5,0,1992,3,576,110619
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,176991
terraced,Banwoldang,0,2,2,524,2007,4,1366,318584
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,300884
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,386725
terraced,Sin-nam,0,3,2,475,2008,8,914,253982
terraced,Banwoldang,0,2,2,524,2007,4,1103,232212
terraced,Sin-nam,0,3,2,475,2008,8,914,349557
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,247787
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,383185
mixed,Bangoge,5,5,4,798,2005,7,1184,232743
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,139823
terraced,no_subway_nearby,2,2,1,203,2009,5,910,247787
mixed,Bangoge,5,5,4,798,2005,7,914,170796
terraced,Sin-nam,0,1,2,536,2006,5,818,192920
corridor,Daegu,2,5,0,76,1985,3,498,54867
corridor,Myung-duk,5,7,5,0,1992,3,576,106194
terraced,Sin-nam,0,1,2,536,2006,5,1743,377876
corridor,Banwoldang,0,3,2,108,2014,2,213,81415
corridor,Sin-nam,1,5,2,18,1986,3,547,55752
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,212389
terraced,Banwoldang,0,2,2,524,2007,4,1394,273451
corridor,Sin-nam,1,5,2,18,1986,3,547,119469
corridor,no_subway_nearby,1,4,1,218,2014,1,135,53097
corridor,Banwoldang,0,3,2,108,2014,2,288,98407
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,150442
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,243362
terraced,Banwoldang,0,2,2,524,2007,4,1394,374336
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,291150
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,477876
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,291150
mixed,Myung-duk,5,6,5,536,1993,4,914,220353
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,276106
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,137610
mixed,Myung-duk,5,6,5,536,1993,4,1451,194690
terraced,Sin-nam,0,1,2,536,2006,5,1437,349557
terraced,Sin-nam,0,1,2,536,2006,5,1412,364601
terraced,Myung-duk,2,3,1,181,2006,4,903,178761
terraced,Myung-duk,2,3,1,181,2006,4,903,283185
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,203539
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,203539
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,206194
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,211504
terraced,Banwoldang,0,0,0,203,2014,10,914,344247
mixed,Chil-sung-market,1,7,3,56,2003,5,907,171681
mixed,Bangoge,5,5,4,798,2005,7,743,130973
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,433778
corridor,Daegu,2,5,0,76,1985,3,676,110619
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,315044
terraced,Sin-nam,0,3,2,475,2008,8,914,216814
terraced,Sin-nam,0,3,2,475,2008,8,829,261061
terraced,Sin-nam,0,1,2,536,2006,5,1743,420353
corridor,Daegu,2,5,0,76,1985,3,587,134513
terraced,Banwoldang,0,2,2,524,2007,4,1394,286283
mixed,Bangoge,5,5,4,798,2005,7,572,196460
terraced,no_subway_nearby,0,1,1,1321,2015,10,914,406194
mixed,Myung-duk,5,6,5,536,1993,4,1761,374336
terraced,Myung-duk,5,7,5,1174,2014,9,640,268141
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,442477
mixed,Bangoge,5,5,4,798,2005,7,914,267256
corridor,Sin-nam,1,5,2,18,1986,3,508,48672
mixed,Myung-duk,5,6,5,536,1993,4,644,137168
corridor,Myung-duk,5,7,5,0,1992,3,355,46902
terraced,Banwoldang,0,2,2,524,2007,4,1394,234513
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,314690
mixed,Bangoge,5,5,4,798,2005,7,914,180088
terraced,Sin-nam,0,1,2,536,2006,5,914,204424
mixed,Myung-duk,1,5,4,79,1992,3,1448,134513
corridor,no_subway_nearby,1,4,1,218,2014,1,192,74336
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,491150
terraced,Banwoldang,0,4,1,605,2007,5,1483,362831
terraced,Sin-nam,0,1,2,536,2006,5,1743,327433
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,336283
corridor,Daegu,2,5,0,76,1985,3,587,129203
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,356778
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,238938
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,254867
terraced,Daegu,0,3,2,400,2015,7,839,336283
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,242477
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,166814
terraced,Sin-nam,0,1,2,536,2006,5,1149,267256
mixed,Bangoge,5,5,4,798,2005,7,914,250442
terraced,Sin-nam,0,3,2,475,2008,8,829,228318
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,232743
corridor,Myung-duk,5,7,5,0,1992,3,576,111061
terraced,Sin-nam,0,1,2,536,2006,5,1149,389380
mixed,Myung-duk,5,6,5,536,1993,4,1761,292035
terraced,Banwoldang,0,0,0,203,2014,10,914,226725
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,159292
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,273451
terraced,Sin-nam,0,1,2,536,2006,5,1149,352212
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,185840
terraced,Banwoldang,0,4,1,605,2007,5,1273,276548
terraced,Myung-duk,2,3,1,181,2006,4,857,245132
terraced,Sin-nam,0,3,2,475,2008,8,914,179646
terraced,Banwoldang,0,2,2,524,2007,4,914,193362
terraced,Banwoldang,0,4,1,605,2007,5,1483,316814
terraced,Sin-nam,0,3,2,475,2008,8,914,228318
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,221238
corridor,Sin-nam,1,5,2,18,1986,3,508,87610
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,283185
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,329646
corridor,Myung-duk,5,7,5,0,1992,3,576,131858
mixed,Myung-duk,1,5,4,79,1992,3,644,158849
corridor,Myung-duk,5,7,5,0,1992,3,355,38495
terraced,Sin-nam,0,3,2,475,2008,8,829,241150
mixed,Chil-sung-market,1,7,3,56,1997,5,644,162831
terraced,Myung-duk,5,7,5,1174,2014,9,846,322123
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,303539
terraced,Sin-nam,0,1,2,536,2006,5,914,231858
terraced,Banwoldang,0,4,1,605,2007,5,1334,294690
terraced,Sin-nam,0,1,2,536,2006,5,1743,256637
terraced,Sin-nam,0,3,2,475,2008,8,914,340707
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,218584
terraced,Sin-nam,0,1,2,536,2006,5,1149,358407
mixed,Chil-sung-market,1,7,3,56,1997,5,644,95575
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,278761
terraced,Sin-nam,0,1,2,536,2006,5,1743,284955
terraced,Sin-nam,0,3,2,475,2008,8,829,157522
corridor,Myung-duk,5,7,5,0,1992,3,640,146017
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,361061
corridor,Myung-duk,5,7,5,0,1992,3,576,65044
corridor,Myung-duk,5,7,5,0,1992,3,640,61061
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,349557
mixed,Chil-sung-market,1,7,3,56,1997,5,644,76991
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,357964
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,429203
mixed,Chil-sung-market,1,7,3,56,2003,5,907,119469
terraced,Myung-duk,2,3,1,181,2006,4,857,203539
terraced,Banwoldang,0,4,1,605,2007,5,1483,405309
mixed,Bangoge,5,5,4,798,2005,7,572,72654
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,224778
corridor,Myung-duk,5,7,5,0,1992,3,355,41061
mixed,Myung-duk,1,5,4,79,1992,3,644,119469
terraced,no_subway_nearby,0,1,1,1321,2015,10,1035,442477
terraced,Myung-duk,2,3,1,181,2006,4,903,202654
mixed,Myung-duk,5,6,5,536,1993,4,644,199115
mixed,Myung-duk,1,5,4,79,1992,3,914,149557
corridor,Myung-duk,5,7,5,0,1992,3,644,101769
mixed,Myung-duk,1,5,4,79,1992,3,644,86725
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,339823
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,336283
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,320353
corridor,no_subway_nearby,1,4,1,218,2014,1,160,57522
terraced,Banwoldang,0,2,2,524,2007,4,1394,245575
terraced,Sin-nam,0,3,2,475,2008,8,1167,238938
terraced,Sin-nam,0,3,2,475,2008,8,1167,230088
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,177433
corridor,Myung-duk,5,7,5,0,1992,3,355,55752
corridor,Myung-duk,5,7,5,0,1992,3,576,116814
corridor,Daegu,2,5,0,76,1985,3,498,73451
mixed,Myung-duk,1,5,4,79,1992,3,644,153982
terraced,Banwoldang,0,4,1,605,2007,5,1483,373451
terraced,Sin-nam,0,1,2,536,2006,5,1149,234513
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,143805
terraced,Banwoldang,0,4,1,605,2007,5,1483,407079
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,871,104424
terraced,Myung-duk,2,3,1,181,2006,4,857,150442
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,361061
mixed,Bangoge,5,5,4,798,2005,7,914,230088
corridor,Sin-nam,1,5,2,18,1986,3,910,95132
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,182300
terraced,Myung-duk,5,7,5,1174,2014,9,910,343362
corridor,Myung-duk,5,7,5,0,1992,3,576,130088
corridor,no_subway_nearby,1,4,1,218,2014,1,156,61946
terraced,Myung-duk,5,7,5,1174,2014,9,907,331858
mixed,Bangoge,5,5,4,798,2005,7,914,198230
mixed,Bangoge,5,5,4,798,2005,7,743,132300
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,469026
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,232743
terraced,Sin-nam,0,1,2,536,2006,5,1743,300884
terraced,Myung-duk,5,7,5,1174,2014,9,640,263716
terraced,Myung-duk,5,7,5,1174,2014,9,640,276991
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,163716
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,292035
mixed,Bangoge,5,5,4,798,2005,7,914,276106
mixed,Myung-duk,5,6,5,536,1993,4,1761,172566
mixed,Myung-duk,5,6,5,536,1993,4,644,81415
mixed,Bangoge,5,5,4,798,2005,7,743,145575
terraced,Myung-duk,5,7,5,1174,2014,9,910,369911
terraced,Sin-nam,0,3,2,475,2008,8,1167,385840
terraced,Sin-nam,0,1,2,536,2006,5,818,174336
mixed,Bangoge,5,5,4,798,2005,7,572,123893
mixed,Myung-duk,5,6,5,536,1993,4,914,116814
terraced,Banwoldang,0,4,1,605,2007,5,1483,382300
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,172566
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,185840
mixed,Myung-duk,5,6,5,536,1993,4,644,87610
terraced,Myung-duk,5,7,5,1174,2014,9,843,325221
mixed,Bangoge,5,5,4,798,2005,7,914,169911
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,247787
terraced,no_subway_nearby,2,2,1,203,2009,5,910,159557
terraced,Myung-duk,5,7,5,1174,1980,9,910,54867
corridor,Sin-nam,1,5,2,18,1986,3,508,110619
mixed,Bangoge,5,5,4,798,2005,7,572,153982
mixed,Myung-duk,1,5,4,79,1992,3,914,136283
corridor,Myung-duk,5,7,5,0,1992,3,355,54867
mixed,Myung-duk,5,6,5,536,1993,4,914,161946
mixed,Myung-duk,5,6,5,536,1993,4,914,187610
terraced,no_subway_nearby,2,2,1,203,2009,5,910,264601
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,192920
terraced,Myung-duk,5,7,5,1174,2014,9,640,261061
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,194690
terraced,Banwoldang,0,2,2,524,2007,4,1394,290265
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,177699
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,188495
terraced,Sin-nam,0,1,2,536,2006,5,1437,320353
mixed,Bangoge,5,5,4,798,2005,7,743,245575
corridor,no_subway_nearby,1,4,1,218,2014,1,156,59911
terraced,Myung-duk,2,3,1,181,2006,4,903,202212
terraced,Banwoldang,0,2,2,524,2007,4,1103,287610
terraced,Banwoldang,0,2,2,524,2007,4,1419,291415
mixed,Bangoge,5,5,4,798,2005,7,1184,194690
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,305309
terraced,Banwoldang,0,2,2,524,2007,4,914,283185
terraced,Sin-nam,0,3,2,475,2008,8,829,233628
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,197345
corridor,Myung-duk,5,7,5,0,1992,3,640,138938
corridor,Banwoldang,0,3,2,108,2014,2,288,84070
terraced,Myung-duk,5,7,5,1174,2014,9,644,269911
mixed,Myung-duk,5,6,5,536,1993,4,914,211504
mixed,Chil-sung-market,1,7,3,56,1997,5,558,76106
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,266371
mixed,Myung-duk,5,6,5,536,1993,4,1451,185840
terraced,no_subway_nearby,2,2,1,203,2009,5,910,199115
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,189380
terraced,Sin-nam,0,3,2,475,2008,8,914,238938
mixed,Chil-sung-market,1,7,3,56,2003,5,907,123893
terraced,Banwoldang,0,2,2,524,2007,4,1394,276991
terraced,Banwoldang,0,2,2,524,2007,4,1103,296460
terraced,Banwoldang,0,4,1,605,2007,5,1690,455752
terraced,Banwoldang,0,2,2,524,2007,4,1103,223008
corridor,Myung-duk,5,7,5,0,1992,3,355,46017
terraced,no_subway_nearby,2,2,1,203,2009,5,910,285840
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,242920
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,212389
mixed,Myung-duk,5,6,5,536,1993,4,914,207079
mixed,Myung-duk,5,6,5,536,1993,4,914,123008
mixed,Myung-duk,1,5,4,79,1992,3,644,150442
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,357522
terraced,Sin-nam,0,1,2,536,2006,5,1412,406194
mixed,Bangoge,5,5,4,798,2005,7,743,205309
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,255309
mixed,Bangoge,5,5,4,798,2005,7,743,236283
terraced,Sin-nam,0,3,2,475,2008,8,829,293805
corridor,Daegu,2,5,0,76,1985,3,587,69911
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,472566
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,336283
terraced,Sin-nam,0,1,2,536,2006,5,1149,250442
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,340707
terraced,Myung-duk,5,7,5,1174,2014,9,910,351327
mixed,Bangoge,5,5,4,798,2005,7,914,296460
mixed,Bangoge,5,5,4,798,2005,7,743,231858
mixed,Bangoge,5,5,4,798,2005,7,572,161061
corridor,Myung-duk,5,7,5,0,1992,3,355,73008
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,141592
corridor,Sin-nam,1,5,2,18,1986,3,451,46902
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,214159
corridor,Myung-duk,5,7,5,0,1992,3,355,43185
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,262831
terraced,no_subway_nearby,0,1,1,1321,2015,10,914,382300
terraced,Sin-nam,0,3,2,475,2008,8,914,170353
corridor,Daegu,2,5,0,76,1985,3,587,86725
terraced,Myung-duk,5,7,5,1174,2014,9,914,370796
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,245132
